406	F Casacuberta	Professor of Computer Science, PRHLT, Polytechnic University of Valencia
407	F Chin	The University of Hong Kong
408	F Christian	Principal Research Manager, Microsoft Translator
409	F Dalvi	Qatar Computing Research Institute
410	F Dernoncourt	NLP/ML Researcher. MIT PhD.
411	F do Carmo	Senior Lecturer, Centre for Translation Studies, University of Surrey
412	F Do Carmo	Senior Lecturer, Centre for Translation Studies, University of Surrey
413	FE Alva Manchego	Lecturer, Cardiff University
414	F Fancellu	3M, Dublin
415	F Gao	Bytedance
416	F Ginter	University of Turku
417	F Guzmán	Research Scientist - Facebook AI
418	F Hieber	Manager Machine Learning, Amazon
419	F Khan	Higher Colleges of Technology
420	F Klubička	PhD Student, Technological University Dublin
421	F Ladhak	Columbia University
422	F Li	AI Lab, NetEase
423	F Marcello	AWS AI Labs
424	F Martelli	PhD Student, Sapienza University of Rome
425	F Meng	WeChat AI, Tencent
426	F Metze	Carnegie Mellon University; FACEBOOK
427	F Meziane	Professor of Data Science, University of Derby
428	FM Federici	Professor of Intercultural Crisis Communication, University College London
429	F Sadat	Université du Québec à Montréal (UQAM)
430	F Saleh	Oracle
431	F Sánchez‐Martínez	Associate Professor, Dept. of Software and Computing Systems, Universitat d'Alacant (Spain)
432	F Soares	NVIDIA
433	F Stahlberg	Google Research
434	F Tian	Facebook
435	F Wang	antfin
436	F Wang	University of Southern California
437	F Wei	Partner Research Manager, Microsoft Research
438	F Wu	Professor of Computer Science, Zhejiang University
439	FYL Chin	The University of Hong Kong
440	F Yvon	LISN/CNRS
441	G Anbarjafari	Professor of Computer Vision/Director and Chief Data Scientist/Cofounder and Chief Innovation
442	G Barzdins	University of Latvia
443	G Bingham	Ph.D. Candidate at The University of Texas at Austin
444	G Blackwood	IBM Research
445	G Campagna	Unknown affiliation
446	G Donaj	University of Maribor
447	GE Dahl	Google Inc.
448	G Foster	Research Scientist, Google Inc.
449	G Garrido	Google
450	G Glavaš	Professor (Chair for Natural Language Processing, Informatik XII), University of Würzburg
451	GG Lee	professor of  computer science and enginnering, postech 
452	GG Şahin	Assistant Professor, Koç University
453	GH Abrego	Google
454	G Hacohen	PhD student, Hebrew University of Jerusalem
455	G Haffari	Professor, DSAI Dept, Monash University
456	G He	TU Delft
457	G Iglesias	Senior Research Scientist at SDL Cambridge
458	G Klein	Research engineer at SYSTRAN
459	G Kovacs	Stanford University
460	G Kumar	Research Scientist, Bloomberg AI
461	G Labaka	HiTZ Center - Ixa, University of the Basque Country UPV/EHU
462	G Lample	Research Scientist, Facebook AI Research
463	G Li	Harbin Institute of Technology
464	GM Buy Wenniger	Postdoctoral Researcher, University of Groningen
465	GM Correia	Instituto de Telecomunicações
466	G Minnema	PhD student, University of Groningen
467	GMMA Correia	Instituto de Telecomunicações
468	G Moro	Dept. of Computer Science and Engineering - University of Bologna, Cesena
469	GM Rosa	Unicamp
470	G Neubig	Associate Professor of Computer Science, Carnegie Mellon University
471	G Paetzold	Adjunct Professor at the Federal University of Technology - Paraná
472	G Ramesh	UW-Madison
473	G Ramírez‐Sánchez	CEO at Prompsit Language Engineering, computational linguist
474	G Rehm	Principal Researcher and Research Fellow, DFKI GmbH
475	G Rigau	Deputy Director of HiTZ, IXA Research Group, Associate professor, University of the Basque Country
476	G Rocha	Artificial Intelligence and Computer Science Lab (LIACC), University of Porto (FEUP)
477	G Tambouratzis	Institute for Language and Speech Processing
478	G Tang	Researcher at Uppsala University
479	G Vernikos	PhD Student, EPFL and HEIG-VD
480	G Wang	Nankai University
481	G Wenzek	Facebook
482	G Xie	Dublin City University
483	G Zhou	Soochow University, China
484	G Zhou	PhD Student, Univeristy of Edinburgh
485	H Adel	Bosch Center for Artificial Intelligence
486	HA Hosni Mahmoud	Princess Nourah bint Abdulrahman University
487	HA Khojasteh	Charles University, Prague, Czech Republic
488	H Aljuaid	Princess Nourah bint Abdulrahman University (pnu)
489	HA Mengash	Princess Nourah bint Abdulrahman University, College of Computer and Information Sciences, Dep. of
490	HA Wibowo	AI Researcher
491	H Ayad	Professeur habilité, informatique, Université Hassan II de Casablanca
492	H Bouamor	Associate Professor of Information Systems, Carnegie Mellon University in Qatar
493	H Cao	School of Computing, National University of Singapore
494	H Chen	Northeastern University
495	H Chen	DAMO Academy, Alibaba Group Singapore R&D (阿里巴巴达摩院新加坡研发中心)
496	H Chi	qingdao
497	H Eldardiry	Virginia Tech
498	H Fei	Baidu Research USA
